Rowid_1,ROWID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,ID,DIV18,MEAN2
102,102,101,26,5850,2.372021437,3.032759905,0.660738468,2.557402317,0.176717903,66.49246025,101,5,2.557402317
103,103,102,25,5625,2.211493254,2.671741247,0.460247993,2.344331942,0.125063964,58.60829854,102,5,2.344331942
104,104,103,24,5400,1.890979171,2.511551857,0.620572686,2.173520307,0.247036016,52.16448736,103,12,2.173520307
105,105,104,24,5400,2.336596727,2.336596727,0,2.336596727,0,56.07832146,104,0,2.336596727
106,106,105,24,5400,2.336596727,2.336596727,0,2.336596727,0,56.07832146,105,0,2.336596727
107,107,106,23,5175,2.336596727,2.336596727,0,2.336596727,0,53.74172473,106,0,2.336596727
108,108,107,24,5400,2.336596727,2.336596727,0,2.336596727,0,56.07832146,107,0,2.336596727
109,109,108,26,5850,2.205735922,2.597912073,0.392176151,2.332332162,0.075579151,60.64063621,108,0,2.332332162
110,110,109,31,6975,1.989328027,3.108621359,1.119293332,2.421335566,0.308309811,75.06140256,109,5,2.421335566
111,111,110,31,6975,2.760133266,3.654551983,0.894418716,3.100886653,0.251374443,96.12748623,110,5,3.100886653
112,112,111,23,5175,2.329688072,2.462445259,0.132757187,2.392974501,0.036853637,55.03841352,111,9,2.392974501
113,113,112,24,5400,2.317157507,2.69341588,0.376258373,2.414171298,0.097053913,57.94011116,112,9,2.414171298
114,114,113,26,5850,2.267034531,2.719493389,0.452458858,2.491023614,0.103667652,64.76661396,113,5,2.491023614
115,115,114,26,5850,2.029968023,2.36389327,0.333925247,2.184569331,0.082277792,56.79880261,114,5,2.184569331
116,116,115,26,5850,1.932432055,2.481072187,0.548640132,2.126527089,0.141161349,55.28970432,115,5,2.126527089
117,117,116,23,5175,2.408597231,2.686304092,0.277706861,2.525511026,0.081405118,58.08675361,116,9,2.525511026
118,118,117,25,5625,2.468879938,2.89085865,0.421978712,2.558233833,0.082816035,63.95584583,117,9,2.558233833
119,119,118,23,5175,2.40114665,3.281002522,0.879855871,2.560128575,0.203140251,58.88295722,118,9,2.560128575
120,120,119,24,5400,1.898565412,2.384213448,0.485648036,2.133670563,0.138365342,51.20809352,119,11,2.133670563
121,121,120,26,5850,2.168482542,2.655823946,0.487341404,2.382129247,0.127044489,61.93536043,120,5,2.382129247
122,122,121,24,5400,2.450930595,2.896277189,0.445346594,2.550837308,0.137954322,61.2200954,121,9,2.550837308
123,123,122,24,5400,2.499698639,3.067304134,0.567605495,2.797612449,0.160856901,67.14269876,122,9,2.797612449
124,124,123,27,6075,1.464563966,2.234522581,0.769958615,2.007082921,0.167227249,54.19123888,123,11,2.007082921
125,125,124,26,5850,1.898565412,2.243328094,0.344762683,1.987009461,0.087229959,51.66224599,124,11,1.987009461
126,126,125,23,5175,1.464563966,2.747941256,1.28337729,2.28062837,0.417087074,52.45445251,125,11,2.28062837
127,127,126,30,6750,1.995762587,2.539593458,0.543830872,2.413839777,0.227976698,72.41519332,126,11,2.413839777
128,128,127,24,5400,2.291079998,2.959269285,0.668189287,2.638989429,0.175682326,63.33574629,127,8,2.638989429
129,129,128,24,5400,2.115312099,2.376762629,0.261450529,2.205086927,0.08652389,52.92208624,128,8,2.205086927
130,130,129,25,5625,1.464563966,3.227832079,1.763268113,2.580308051,0.573616676,64.50770128,129,11,2.580308051
131,131,130,21,4725,1.464563966,2.250439882,0.785875916,1.513315837,0.172418661,31.77963257,130,11,1.9
132,132,131,25,5625,1.464563966,1.464563966,0,1.464563966,0,36.61409914,131,11,1.9
133,133,132,27,6075,1.460669398,2.59858942,1.137920022,1.836877867,0.434144802,49.59570241,132,8,1.9
134,134,133,23,5175,1.460669398,2.514938593,1.054269195,2.065866688,0.440459713,47.51493382,133,8,2.065866688
135,135,134,23,5175,2.246376038,2.621957302,0.375581264,2.374465621,0.111345297,54.61270928,134,8,2.374465621
136,136,135,23,5175,1.851151943,2.241194487,0.390042543,2.016973516,0.131006061,46.39039087,135,8,2.016973516
137,137,136,25,5625,2.122423887,2.562351942,0.439928055,2.290643787,0.126600316,57.26609468,136,8,2.290643787
138,138,137,26,5850,1.841669321,4.137829304,2.296159983,2.218006139,0.581076956,57.6681596,137,10,2.218006139
139,139,138,27,6075,1.955461264,3.060530663,1.105069399,2.56356868,0.397408199,69.21635437,138,10,2.56356868
140,140,139,27,6075,2.250101328,2.874602795,0.624501467,2.545882764,0.160946297,68.73883462,139,8,2.545882764
141,141,140,26,5850,2.589445353,3.36194396,0.772498608,2.88097222,0.241570123,74.90527773,140,8,2.88097222
142,142,141,26,5850,1.683850765,2.10887742,0.425026655,1.844912726,0.098892398,47.96773088,141,10,1.9
143,143,142,25,5625,1.841669321,2.097023964,0.255354643,1.920063882,0.07510617,48.00159705,142,10,1.920063882
144,144,143,25,5625,2.378455877,2.73066926,0.352213383,2.614127312,0.108502973,65.35318279,143,7,2.614127312
145,145,144,28,6300,0,2.369312048,2.369312048,1.90356979,0.731713245,53.29995412,144,7,1.90356979
146,146,145,26,5850,2.115312099,2.816013336,0.700701237,2.548362448,0.136402814,66.25742364,145,7,2.548362448
147,147,146,30,6750,1.839298606,2.486151934,0.646853328,2.123178105,0.25267573,63.69534314,146,10,2.123178105
148,148,147,26,5850,2.010460615,2.967736006,0.957275391,2.340710291,0.254206893,60.85846758,147,7,2.340710291
149,149,148,26,5850,2.010460615,2.010460615,0,2.010460615,0,52.27197599,148,7,2.010460615
150,150,149,25,5625,2.010460615,2.010460615,0,2.010460615,0,50.26151538,149,7,2.010460615
151,151,150,25,5625,2.010460615,2.010460615,0,2.010460615,0,50.26151538,150,7,2.010460615
152,152,151,27,6075,2.010460615,2.058314323,0.047853708,2.03350129,0.023910438,54.90453482,151,7,2.03350129
153,153,152,27,6075,2.058314323,3.743621588,1.685307264,2.487657176,0.463894248,67.16674376,152,2,2.487657176
154,154,153,26,5850,0.590702415,5.526362896,4.935660481,2.458222458,1.605699374,63.91378391,153,2,2.458222458
155,155,154,28,6300,0.590702415,3.53127718,2.940574765,2.184102442,0.854052314,61.15486836,154,2,2.184102442
156,156,155,27,6075,1.886034608,2.414354563,0.528319955,2.083878689,0.192652906,56.26472461,155,2,2.083878689
157,157,156,27,6075,1.886034608,2.535935879,0.649901271,2.002084392,0.203114899,54.05627859,156,2,2.002084392
158,158,157,27,6075,1.886034608,2.567431927,0.681397319,2.000504012,0.150074009,54.01360834,157,2,2.000504012
159,159,158,27,6075,1.84166944,2.286000013,0.444330573,1.94188963,0.100785986,52.43102002,158,2,1.94188963
160,160,159,27,6075,1.557189345,2.083138704,0.525949359,1.816733427,0.128512489,49.05180252,159,6,1.9
161,161,160,29,6525,1.63948524,2.329010487,0.689525247,2.045336464,0.170408915,59.31475747,160,6,2.045336464
162,162,161,30,6750,2.053335905,2.320544004,0.267208099,2.175244721,0.067297779,65.25734162,161,6,2.175244721
163,163,162,30,6750,1.965282679,2.358136177,0.392853498,2.13163571,0.104097251,63.94907129,162,6,2.13163571
